shoe_id,brand,name,lightweight,rocker,removable_insole,pace_daily_running,pace_tempo,pace_competition,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,midsole_softness,toebox_durability,heel_durability,outsole_durability,breathability_scaled,width_fit,toebox_width,stiffness_scaled,torsional_rigidity,heel_stiff,plate_rock_plate,plate_carbon_plate,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all
r156,brooks,ghost max,0,1,1,1,0,0,1,0,10.3,9.5,1,1,1,5,2,4,4,3,1,3,5,5,5,0,0,39.8,30.3,0,0,1
r157,brooks,ghost max 3,0,0,1,1,0,0,1,0,10.7,7.3,0,1,1,5,3,4,4,3,3,3,5,5,5,0,0,38.5,31.2,0,0,1
r158,brooks,ghostmax 2,0,0,1,1,0,0,1,0,10.8,9.9,1,1,1,3,3,4,4,5,3,3,5,5,5,0,0,39.0,29.1,1,0,1
r159,brooks,glycerin 19,0,0,1,1,0,0,1,0,10.4,11.8,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,38.1,26.3,0,0,0
r160,brooks,glycerin 20,0,0,1,1,0,0,1,0,10.5,12.8,1,0,0,3,0,0,0,3,1,0,3,3,3,0,0,37.1,24.3,0,0,1
r161,brooks,glycerin 21,0,0,1,1,0,0,1,0,9.8,10.6,1,0,0,3,3,4,4,3,3,3,3,1,5,0,0,37.2,26.6,0,0,1
r162,brooks,glycerin 22,0,0,1,1,0,0,1,0,10.3,10.3,1,0,0,5,3,4,4,5,3,3,3,5,3,0,0,38.5,28.2,1,0,1
r163,brooks,glycerin gts 20,0,0,1,1,0,0,0,1,10.9,11.0,1,0,0,3,2,2,4,3,1,3,5,5,5,0,0,36.5,25.5,0,0,1
r164,brooks,glycerin gts 21,0,0,1,1,0,0,0,1,10.6,10.7,1,0,0,3,3,4,4,3,3,3,3,5,5,0,0,37.2,26.5,0,0,1
r165,brooks,glycerin gts 22,0,0,1,1,0,0,0,1,10.8,10.1,1,0,0,3,3,4,4,5,3,3,3,5,3,0,0,37.8,27.7,1,0,1
r166,brooks,glycerin max,0,1,1,1,0,0,1,0,10.8,6.6,1,1,1,5,3,4,3,5,3,3,5,5,3,0,0,42.3,35.7,1,0,1
r167,brooks,glycerin stealthfit 20,0,0,1,1,0,0,1,0,9.9,12.5,1,0,0,3,3,4,4,5,1,3,5,5,3,0,0,38.8,26.3,1,0,1
r168,brooks,glycerin stealthfit 21,0,0,1,1,0,0,1,0,9.1,10.5,1,0,0,3,3,3,4,1,3,3,3,3,3,0,0,36.9,26.4,0,0,1
r169,brooks,hyperion,1,0,1,0,1,0,1,0,7.4,12.3,1,0,0,3,2,3,4,3,1,5,3,1,3,0,0,30.0,17.7,0,0,1
r170,brooks,hyperion 2,1,0,1,0,1,1,1,0,7.2,9.8,1,1,1,3,3,2,3,5,3,3,3,3,3,0,0,32.2,22.4,1,0,1
r171,brooks,hyperion elite 4,1,1,1,0,1,1,1,0,7.8,11.8,1,0,0,3,3,4,4,5,1,3,5,5,1,0,1,39.1,27.3,1,0,1
r172,brooks,hyperion elite 4 pb,1,0,1,0,0,1,1,0,6.9,11.7,1,0,0,5,3,4,3,5,1,3,5,5,1,0,1,38.5,26.8,1,0,1
r173,brooks,hyperion elite 5,1,1,1,0,0,1,1,0,7.2,11.2,1,0,0,5,3,4,2,5,1,3,5,5,1,0,1,37.6,26.4,1,0,1
r174,brooks,hyperion gts,1,0,1,0,1,0,0,1,8.0,9.9,1,1,1,5,3,4,4,5,1,3,3,3,3,0,0,28.6,18.7,1,0,1
r175,brooks,hyperion gts 2,1,0,1,1,1,0,0,1,7.8,10.7,1,0,0,3,3,4,4,3,3,3,3,5,3,0,0,33.0,22.3,0,0,1
r176,brooks,hyperion max 2,0,1,1,0,1,0,1,0,9.2,6.8,0,1,1,3,3,3,4,3,3,3,5,5,3,0,0,33.2,26.4,0,0,1
r177,brooks,hyperion max 3,0,1,1,1,1,0,1,0,10.0,10.6,1,0,0,5,4,3,4,3,3,3,3,5,3,0,0,45.6,35.0,0,0,1
r178,brooks,hyperion tempo,1,0,1,0,1,0,1,0,7.0,9.0,1,1,1,3,4,3,4,3,3,3,1,1,3,0,0,28.7,19.7,0,0,1
r179,brooks,launch 10,1,0,1,1,1,0,1,0,8.1,10.0,1,1,1,5,3,4,4,3,3,3,3,3,3,0,0,33.8,23.8,0,0,1
r180,brooks,launch 11,1,0,1,1,1,0,1,0,8.4,9.5,1,1,1,3,3,2,4,3,3,3,3,5,5,0,0,33.5,24.0,0,0,1
r181,brooks,launch 8,1,0,1,1,1,0,1,0,8.5,9.6,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,30.5,20.9,0,0,0
r182,brooks,launch 9,1,0,1,1,1,0,1,0,7.9,9.4,1,1,1,3,0,0,0,0,1,0,5,5,1,0,0,32.4,23.0,0,0,0
r183,brooks,launch gts 10,1,0,1,1,1,0,0,1,8.5,12.2,1,0,0,5,3,4,4,3,3,3,5,5,3,0,0,35.4,23.2,0,0,1
r184,brooks,launch gts 9,1,0,1,1,1,0,0,1,8.6,10.4,1,0,0,3,3,4,4,1,1,3,5,5,5,0,0,33.8,23.4,0,0,1
r185,brooks,levitate 5,0,0,1,1,0,0,1,0,10.7,9.1,1,1,1,0,0,0,0,0,3,0,5,3,5,0,0,31.4,22.3,0,0,0
r186,brooks,levitate 6,0,0,1,1,0,0,1,0,10.7,7.7,0,1,1,5,4,4,4,5,1,3,5,3,3,0,0,34.3,26.6,1,0,1
r187,brooks,levitate stealthfit 5,0,0,1,1,0,0,1,0,10.1,9.5,1,1,1,5,4,4,4,1,1,5,5,1,3,0,0,28.0,18.5,0,1,0
r188,brooks,levitate stealthfit 6,0,0,1,1,0,0,1,0,9.9,7.5,0,1,1,3,4,4,4,1,1,3,5,3,3,0,0,32.9,25.4,0,0,1
r189,brooks,revel 5,1,0,1,1,0,0,1,0,8.7,9.6,1,1,1,0,0,0,0,3,3,0,5,3,3,0,0,28.5,18.9,0,0,1
r190,brooks,revel 6,0,0,1,1,0,0,1,0,9.2,13.2,1,0,0,3,2,2,4,3,1,3,5,5,5,0,0,32.9,19.7,0,0,1
r191,brooks,revel 7,0,0,1,1,0,0,1,0,9.1,9.8,1,1,1,5,4,3,4,5,3,3,3,5,5,0,0,32.0,22.2,1,0,1
r192,brooks,ricochet 3,0,0,1,1,0,0,1,0,9.1,6.8,0,1,1,0,0,0,0,0,3,0,0,3,0,0,0,27.6,20.8,0,0,0
r193,brooks,trace 2,1,0,1,1,0,0,1,0,8.8,12.3,1,0,0,3,3,3,4,5,1,3,5,3,3,0,0,34.2,21.9,1,0,1
r194,brooks,trace 3,0,0,1,1,0,0,1,0,9.1,11.9,1,0,0,3,2,4,4,3,3,3,3,3,5,0,0,34.1,22.2,0,0,1
r195,diadora,atomo star,0,1,1,1,0,0,1,0,9.5,7.8,0,1,1,5,3,2,4,3,1,1,3,5,5,0,0,39.9,32.1,0,0,1
r196,diadora,cellula,0,0,1,1,0,0,1,0,9.8,7.2,0,1,1,5,3,4,4,3,1,3,5,5,5,0,0,41.9,34.7,0,0,1
r197,diadora,nucleo 2,0,0,1,1,0,0,1,0,9.7,8.0,1,1,1,5,2,4,4,3,3,3,3,5,3,0,0,38.7,30.7,0,0,1
r198,hoka,arahi 7,0,1,1,1,0,0,0,1,9.4,6.3,0,1,1,3,4,4,4,3,3,1,5,5,5,0,0,34.2,27.9,0,0,1
r199,hoka,arahi 8,0,1,1,1,0,0,0,1,9.1,11.3,1,0,0,5,4,4,4,1,3,3,5,5,3,0,0,39.4,28.1,0,0,1
r200,hoka,bondi 8,0,1,1,1,0,0,1,0,11.0,6.2,0,1,1,5,0,0,0,3,1,1,5,5,3,0,0,36.2,30.0,0,0,1
r201,hoka,bondi 9,0,1,1,1,0,0,1,0,10.7,9.1,1,1,1,3,4,4,4,3,3,3,3,5,3,0,0,41.3,32.2,0,0,1
r202,hoka,cielo x1 2.0,1,1,1,0,1,1,1,0,7.3,10.7,1,0,0,5,2,2,3,5,1,3,5,5,1,0,1,38.8,28.1,1,0,1
r203,hoka,clifton 10,0,1,1,1,0,0,1,0,9.7,12.4,1,0,0,5,4,4,3,3,3,3,3,5,3,0,0,44.4,32.0,0,0,1
r204,hoka,clifton 8,0,1,1,1,0,0,1,0,9.0,8.6,1,1,1,0,0,0,0,1,1,0,5,5,5,0,0,33.7,25.1,0,0,1
r205,hoka,clifton 9,1,1,1,1,0,0,1,0,8.8,6.1,0,1,1,3,0,0,0,3,1,1,5,5,5,0,0,32.7,26.6,0,0,1
r206,hoka,clifton 9 gtx,0,1,1,1,0,0,1,0,9.6,8.6,1,1,1,3,4,4,4,3,1,1,5,5,5,0,0,37.2,28.6,0,0,1
r207,hoka,gaviota 5,0,0,1,1,0,0,0,1,10.5,2.2,0,1,1,5,3,2,4,5,5,5,5,5,3,0,0,34.9,32.7,1,0,1
r208,hoka,kawana 2,0,0,1,1,0,0,1,0,10.5,5.2,0,1,1,3,3,4,4,3,1,1,5,3,5,0,0,33.2,28.0,0,0,1
r209,hoka,mach 4,1,1,1,1,1,0,1,0,7.9,4.9,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,30.6,25.7,0,0,0
r210,hoka,mach 5,1,1,1,1,1,0,1,0,7.9,5.7,0,1,1,5,0,0,0,3,1,0,1,1,3,0,0,30.7,25.0,0,0,1
r211,hoka,mach 6,1,1,1,1,0,0,1,0,8.2,9.6,1,1,1,3,3,2,4,5,3,1,3,5,5,0,0,36.0,26.4,1,0,1
r212,hoka,mach x 3,0,1,1,1,1,0,1,0,9.3,9.5,1,1,1,5,3,4,4,3,1,1,5,5,1,0,0,42.9,33.4,0,0,1
r213,hoka,rincon 4,1,1,1,1,0,0,0,1,8.1,9.4,1,1,1,5,2,3,2,5,1,1,3,5,5,0,0,36.0,26.6,1,0,1
r214,hoka,rocket x 3,1,1,1,0,0,1,1,0,7.8,10.0,1,1,1,5,3,4,4,5,1,1,5,5,1,0,1,39.6,29.6,1,0,1
r215,hoka,skyflow,0,0,1,1,0,0,1,0,9.9,8.7,1,1,1,5,3,4,4,5,3,1,5,5,5,0,0,39.3,30.6,1,0,1
r216,hoka,skyward x,0,1,1,1,1,0,1,0,11.1,9.2,1,1,1,5,4,4,4,5,1,1,5,5,5,0,1,46.3,37.1,1,0,1
r217,hoka,solimar,1,0,1,1,0,0,1,0,8.2,6.4,0,1,1,3,4,3,0,3,1,1,3,3,1,0,0,30.4,24.0,0,0,1
r218,hoka,transport x,0,1,1,1,0,0,1,0,9.7,9.4,1,1,1,3,2,2,4,5,3,3,5,5,5,0,1,40.2,30.8,1,0,1
r219,inov8,roadfly,0,0,1,1,0,0,1,0,8.9,9.4,1,1,1,3,2,3,3,5,3,5,5,3,1,0,0,31.5,22.1,1,0,1
r220,jordan,react havoc,0,0,0,1,0,0,1,0,9.5,10.2,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,32.3,22.1,0,0,0
r221,merrell,vapor glove 6,1,0,0,1,0,0,1,0,5.6,0.0,0,1,1,0,3,3,3,3,3,5,1,1,1,0,0,7.6,7.6,0,0,1
r222,mizuno,mizuno wave horizon 7,0,0,1,1,0,0,0,1,11.6,7.2,1,1,1,3,3,2,4,3,3,5,5,5,5,0,0,39.1,31.9,0,0,1
r223,mizuno,neo vista,0,1,1,1,1,0,1,0,9.1,9.6,1,1,1,5,4,4,4,3,3,3,3,5,1,0,0,44.9,35.3,0,0,1
r224,mizuno,neo vista 2,0,1,1,1,1,0,1,0,9.3,8.5,1,1,1,5,4,4,4,3,3,3,3,5,1,0,0,46.0,37.5,0,0,1
r225,mizuno,neo zen,1,0,1,1,1,0,1,0,8.3,7.0,0,1,1,5,4,4,4,3,3,3,3,3,1,0,0,41.0,34.0,0,0,1
r226,mizuno,wave horizon 6,0,0,1,1,0,0,0,1,11.0,6.5,0,1,1,3,0,0,0,0,3,0,5,3,5,0,0,37.1,30.6,0,0,0
r227,mizuno,wave inspire 19,0,0,1,1,0,0,0,1,10.3,12.4,1,0,0,5,3,3,4,3,3,5,3,3,5,0,0,38.2,25.8,0,0,1
r228,mizuno,wave inspire 20,0,0,1,1,0,0,0,1,10.7,12.6,1,0,0,3,4,4,4,3,3,3,3,5,5,0,0,37.7,25.1,0,0,1
r229,mizuno,wave inspire 21,0,0,1,1,0,0,0,1,10.1,12.9,1,0,0,3,3,4,4,3,5,3,3,3,5,0,0,38.0,25.1,0,0,1
r230,mizuno,wave rebellion,1,1,1,0,1,0,1,0,8.7,7.7,0,1,1,3,3,3,2,3,3,3,5,5,5,0,0,36.4,28.7,0,0,1
r231,mizuno,wave rebellion flash 2,1,1,0,0,1,0,1,0,8.4,2.9,0,1,1,5,3,2,4,3,3,3,3,5,3,0,0,35.2,32.3,0,0,1
r232,mizuno,wave rebellion pro,1,1,1,0,0,1,1,0,7.5,4.9,0,1,1,1,2,3,2,3,1,3,5,5,1,0,1,38.2,33.3,0,0,1
r233,mizuno,wave rebellion pro 2,1,1,1,0,0,1,1,0,7.4,2.1,0,1,1,5,2,4,2,3,1,3,5,5,1,0,1,37.9,35.8,0,0,1
r234,mizuno,wave rider 25,0,0,1,1,0,0,1,0,9.5,12.3,1,0,0,0,0,0,0,0,3,0,5,3,5,0,0,38.4,26.1,0,0,0
r235,mizuno,wave rider 26,0,0,1,1,0,0,1,0,10.3,11.8,1,0,0,5,0,0,0,3,3,0,5,3,5,0,0,39.2,27.4,0,0,1
r236,mizuno,wave rider 27,0,0,1,1,0,0,1,0,9.8,13.2,1,0,0,3,3,4,4,3,3,3,3,3,5,0,0,38.3,25.1,0,0,1
r237,mizuno,wave rider 28,0,0,1,1,0,0,1,0,9.7,14.7,1,0,0,3,3,4,3,3,3,5,3,5,3,0,0,39.3,24.6,0,0,1
r238,mizuno,wave rider 29,0,0,1,1,0,0,1,0,9.1,8.3,1,1,1,5,3,4,3,3,3,5,3,5,5,0,0,37.5,29.2,0,0,1
r239,mizuno,wave sky 7,0,0,1,1,0,0,1,0,10.4,10.9,1,0,0,3,4,4,4,3,3,3,5,5,3,0,0,40.9,30.0,0,0,1
r240,mizuno,wave sky 8,0,0,1,1,0,0,1,0,9.6,10.0,1,1,1,5,4,4,2,3,3,3,3,3,3,0,0,40.7,30.7,0,0,1
r241,new balance,foam arishi v4,1,0,1,1,0,0,1,0,8.5,7.7,0,1,1,5,2,2,4,3,3,3,1,1,1,0,0,28.1,20.4,0,0,1
r242,new balance,fresh foam 1080 v11,0,1,1,1,0,0,1,0,9.2,8.0,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,34.2,26.2,0,0,0
r243,new balance,fresh foam 680 v8,0,0,1,1,0,0,1,0,9.2,7.8,0,1,1,5,4,4,4,5,3,3,1,1,3,0,0,35.4,27.6,1,0,1
r244,new balance,fresh foam 860 v11,0,0,0,1,0,0,0,1,10.6,12.4,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,34.2,21.8,0,0,0
r245,new balance,fresh foam 860 v12,0,0,0,1,0,0,0,1,11.0,13.3,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,33.6,20.3,0,0,0
r246,new balance,fresh foam more v3,0,0,1,1,0,0,1,0,10.4,7.8,0,1,1,5,0,0,0,1,3,0,5,3,3,0,0,37.5,29.7,0,1,0
r247,new balance,fresh foam roav v2,1,0,1,1,0,0,1,0,8.4,7.2,0,1,1,3,0,0,0,1,1,0,3,1,1,0,0,32.2,25.0,0,1,0
r248,new balance,fresh foam x 1080 v12,0,0,1,1,0,0,1,0,10.1,3.3,0,1,1,5,0,0,0,0,1,0,3,3,1,0,0,26.9,23.6,0,0,0
r249,new balance,fresh foam x 1080 v13,0,1,1,1,0,0,1,0,9.3,5.6,0,1,1,5,3,4,4,5,3,3,3,1,5,0,0,34.1,28.5,1,0,1
r250,new balance,fresh foam x 1080 v14,0,1,1,1,0,0,1,0,10.1,4.2,1,1,1,5,4,3,4,3,3,1,3,5,5,0,0,37.0,32.8,0,0,1
r251,new balance,fresh foam x 860 v14,0,0,1,1,0,0,0,1,10.4,9.3,1,1,1,5,3,2,3,3,3,3,3,3,5,0,0,36.8,27.5,0,0,1
r252,new balance,fresh foam x 880 v14,0,0,1,1,0,0,1,0,8.9,8.0,1,1,1,5,3,2,3,3,3,5,3,3,3,0,0,33.0,25.0,0,0,1
r253,new balance,fresh foam x 880 v14 gtx,0,0,1,1,0,0,1,0,9.2,11.3,1,0,0,5,4,3,4,1,3,3,3,5,5,0,0,35.4,24.1,0,1,0
r254,new balance,fresh foam x 880 v15,0,1,1,1,0,0,1,0,10.1,4.3,0,1,1,5,3,4,3,3,3,3,5,5,5,0,0,39.7,35.4,0,0,1
r255,new balance,fresh foam x balos,1,1,1,1,0,0,1,0,8.7,5.9,0,1,1,5,2,4,4,3,3,3,3,5,5,0,0,37.8,31.9,0,0,1
r256,new balance,fresh foam x evoz v3,0,0,1,1,0,0,1,0,9.1,7.9,0,1,1,3,3,3,4,1,1,3,3,3,5,0,0,34.3,26.4,0,0,1
r257,new balance,fresh foam x evoz v4,0,0,1,1,0,0,1,0,10.1,5.5,0,1,1,5,3,3,3,3,3,3,5,5,5,0,0,31.4,25.9,0,0,1
r258,new balance,fresh foam x kaiha road,0,0,1,1,0,0,1,0,9.9,3.8,0,1,1,5,2,2,4,3,3,3,5,5,3,0,0,35.8,32.0,0,0,1
r259,new balance,fresh foam x more v4,0,0,1,1,0,0,1,0,10.6,4.6,0,1,1,5,2,0,0,1,1,1,3,1,1,0,0,32.5,27.9,0,0,1
r260,new balance,fresh foam x more v5,0,1,1,1,0,0,1,0,10.9,7.8,0,1,1,5,3,3,4,5,3,1,5,5,5,0,0,42.1,34.3,1,0,1
r261,new balance,fresh foam x more v6,0,0,1,1,0,0,1,0,10.7,3.3,0,1,1,5,3,4,4,1,3,3,5,3,3,0,0,41.8,38.5,0,0,1
r262,new balance,fresh foam x tempo v2,1,0,1,1,1,0,1,0,8.6,7.0,0,1,1,5,4,3,4,1,1,3,1,1,3,0,0,29.2,22.2,0,0,1
r263,new balance,fresh foam x vongo v6,0,1,1,1,0,0,0,1,11.0,5.6,0,1,1,5,3,4,4,1,3,3,3,3,5,0,0,36.1,30.5,0,1,0
r264,new balance,fuelcell propel v5,0,0,1,1,1,0,1,0,9.5,6.7,0,1,1,5,2,2,3,5,3,3,3,3,3,0,0,35.2,28.5,1,0,1
r265,new balance,fuelcell rc elite v2,1,1,1,0,0,1,1,0,7.7,8.3,1,1,1,0,0,0,0,3,1,0,5,5,1,0,1,34.1,25.8,0,0,1
r266,new balance,fuelcell rebel v2,1,1,0,0,1,0,1,0,7.1,8.9,1,1,1,0,0,0,0,5,1,0,3,1,1,0,0,26.2,17.3,1,0,1
r267,new balance,fuelcell rebel v3,1,0,1,0,1,0,1,0,7.4,9.0,1,1,1,5,3,2,0,5,1,1,3,1,3,0,0,31.7,22.7,1,0,1
r268,new balance,fuelcell rebel v4,1,1,1,1,1,0,1,0,7.5,6.5,0,1,1,5,2,4,4,3,3,5,1,1,1,0,0,28.0,21.5,0,0,1
r269,new balance,fuelcell rebel v5,1,1,1,1,1,0,1,0,7.8,6.3,0,1,1,5,2,4,4,3,3,3,3,1,3,0,0,33.0,26.7,0,0,1
r270,new balance,fuelcell supercomp elite v3,1,1,1,0,1,1,1,0,7.7,14.2,1,0,0,5,2,4,4,5,1,3,5,5,3,0,1,36.4,22.2,1,0,1
r271,new balance,fuelcell supercomp elite v4,1,1,1,0,0,1,1,0,8.2,9.3,1,1,1,5,3,3,4,3,3,5,5,5,1,0,1,38.2,28.9,0,0,1
r272,new balance,fuelcell supercomp elite v5,1,1,1,0,0,1,1,0,7.0,10.7,1,0,0,5,2,3,3,3,3,3,3,5,1,0,1,39.3,28.6,0,0,1
r273,new balance,fuelcell supercomp pacer v2,1,0,1,0,1,1,1,0,7.1,7.5,1,1,1,5,3,3,4,5,3,3,5,5,1,0,1,32.9,25.4,1,0,1
r274,new balance,fuelcell supercomp trainer,0,1,1,0,1,0,1,0,10.5,10.3,1,0,0,5,0,0,0,5,1,0,5,5,1,0,1,40.2,29.9,1,0,1
r275,new balance,fuelcell supercomp trainer v2,0,1,1,0,1,0,1,0,9.3,8.4,1,1,1,5,2,4,4,3,3,5,5,5,3,0,1,39.3,30.9,0,0,1
r276,new balance,fuelcell supercomp trainer v3,0,1,1,0,1,0,1,0,9.8,7.3,0,1,1,5,2,4,3,3,3,3,5,5,3,0,1,36.8,29.5,0,0,1
r277,new balance,propel v4,0,0,1,1,0,0,1,0,9.7,4.5,0,1,1,5,3,4,4,3,1,3,3,5,3,0,0,33.7,29.2,0,0,1
r278,nike,air winflo 9,0,0,1,1,0,0,1,0,9.8,10.8,1,0,0,5,3,0,0,3,1,3,5,3,5,0,0,35.0,24.2,0,0,1
r279,nike,air zoom pegasus 38,0,0,1,1,0,0,1,0,10.3,8.7,1,1,1,0,0,0,0,3,3,0,5,1,3,0,0,31.8,23.1,0,0,1
r280,nike,air zoom pegasus 38 flyease,0,0,0,1,0,0,1,0,9.7,8.7,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,31.8,23.1,0,0,0
r281,nike,air zoom pegasus 39,0,0,1,1,0,0,1,0,9.3,8.0,1,1,1,5,0,0,0,3,1,0,5,1,3,0,0,30.3,22.3,0,0,1
r282,nike,alphafly 2,1,1,0,0,0,1,1,0,8.5,4.7,0,1,1,5,4,0,0,5,1,1,5,5,1,0,1,38.6,33.9,1,0,1
r283,nike,alphafly 3,1,1,0,0,0,1,1,0,7.1,8.5,1,1,1,5,2,4,2,5,3,3,5,5,1,0,1,38.1,29.6,1,0,1
r284,nike,downshifter 11,1,0,0,1,0,0,1,0,8.8,11.6,1,0,0,0,0,0,0,0,1,0,5,3,3,0,0,31.5,19.9,0,0,0
r285,nike,downshifter 12,0,0,1,1,0,0,1,0,9.9,10.0,1,1,1,3,0,0,0,3,3,0,3,1,1,0,0,31.7,21.7,0,0,1
r286,nike,downshifter 13,0,0,1,1,0,0,1,0,9.3,10.1,1,0,0,3,3,4,4,3,3,3,3,3,3,0,0,32.2,22.1,0,0,1
r287,nike,flex experience run 10,1,0,0,1,0,0,1,0,7.1,10.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24.1,13.7,0,0,0
r288,nike,flex experience run 11,1,0,1,1,0,0,1,0,8.2,6.2,0,1,1,1,3,0,0,3,3,1,1,1,1,0,0,24.1,17.9,0,0,1
r289,nike,flex experience run 12,1,0,1,1,0,0,1,0,8.5,6.0,0,1,1,1,3,4,2,3,3,3,1,1,1,0,0,25.9,19.9,0,0,1
r290,nike,flex run 2021,1,0,0,1,0,0,1,0,7.9,7.2,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,32.3,25.1,0,0,0
r291,nike,free rn nn,1,0,1,1,0,0,1,0,6.9,6.9,0,1,1,3,4,4,4,1,5,5,1,1,1,0,0,25.6,18.7,0,0,1
r292,nike,free run 5.0,1,0,0,1,0,0,1,0,6.2,8.1,0,1,1,0,0,0,0,0,5,0,1,1,1,0,0,23.4,15.3,0,0,0
r293,nike,infinityrn 4,0,0,1,1,0,0,1,0,11.1,9.8,1,1,1,5,4,3,4,3,3,3,3,3,1,0,0,34.2,24.4,0,0,1
r294,nike,interact run,1,0,1,1,0,0,1,0,8.5,9.3,1,1,1,3,4,4,3,5,3,3,3,3,3,0,0,29.7,20.4,1,0,1
r295,nike,invincible 3,0,0,1,1,0,0,1,0,10.0,9.6,1,1,1,5,0,0,0,3,1,0,3,5,3,0,0,35.2,25.6,0,0,1
r296,nike,journey run,0,0,1,1,0,0,1,0,10.5,8.6,1,1,1,3,3,3,3,3,3,1,3,5,5,0,0,33.0,24.4,0,0,1
r297,nike,pegasus 40,0,0,1,1,0,0,1,0,9.7,9.7,1,1,1,5,3,0,0,3,3,3,3,1,1,0,0,30.2,20.5,0,0,1
r298,nike,pegasus 41,0,0,1,1,0,0,1,0,9.9,11.4,1,0,0,5,3,4,4,3,3,3,1,1,5,0,0,33.6,22.2,0,0,1
r299,nike,pegasus 41 gtx,0,1,1,1,0,0,1,0,11.1,11.9,1,0,0,5,3,4,2,1,3,3,3,3,3,0,0,36.3,24.4,0,1,0
r300,nike,pegasus easyon,0,0,1,1,0,0,1,0,10.1,11.6,1,0,0,5,2,4,3,5,3,3,5,3,5,0,0,33.6,22.0,1,0,1
r301,nike,pegasus plus,1,0,1,1,1,0,1,0,8.6,9.4,1,1,1,5,3,4,3,3,3,3,3,3,5,0,0,33.0,23.6,0,0,1
r302,nike,pegasus premium,0,1,1,1,1,0,1,0,10.9,11.8,1,0,0,5,2,4,3,5,1,1,5,5,5,0,0,42.8,31.0,1,0,1
r303,nike,pegasus turbo,0,0,1,0,1,0,1,0,9.7,10.0,1,1,1,5,0,0,0,3,1,1,5,3,1,0,0,32.0,22.0,0,0,1
r304,nike,quest 4,0,0,0,1,0,0,1,0,9.5,13.7,1,0,0,0,0,0,0,0,3,0,5,5,5,0,0,32.1,18.4,0,0,0
r305,nike,quest 5,0,0,1,1,0,0,1,0,9.6,9.1,1,1,1,3,0,0,0,3,1,1,3,3,1,0,0,29.8,20.7,0,0,1
r306,nike,react infinity run flyknit 3,0,0,1,1,0,0,1,0,10.5,6.7,0,1,1,5,0,0,0,3,3,0,5,3,1,0,0,30.0,23.3,0,0,1
r307,nike,react miler 3,0,0,1,1,0,0,1,0,10.5,9.8,1,1,1,5,0,0,0,0,1,0,5,3,5,0,0,31.4,21.6,0,0,0
r308,nike,renew ride 2,0,0,0,1,0,0,1,0,10.1,8.3,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,37.6,29.3,0,0,0
r309,nike,renew ride 3,0,0,1,1,0,0,1,0,10.2,10.2,1,0,0,3,2,2,0,3,1,3,5,3,5,0,0,36.4,26.2,0,0,1
r310,nike,revolution 6,0,0,0,1,0,0,1,0,9.2,10.6,1,0,0,0,0,0,0,0,5,0,5,0,0,0,0,33.8,23.1,0,0,0
r311,nike,revolution 7,0,0,1,1,0,0,1,0,9.9,10.5,1,0,0,3,2,4,3,3,3,3,3,3,3,0,0,31.5,21.0,0,0,1
r312,nike,revolution 7 easyon,0,0,1,1,0,0,1,0,9.7,9.9,1,1,1,3,3,4,3,5,1,1,3,3,5,0,0,31.7,21.8,1,0,1
r313,nike,revolution 8,0,0,1,1,0,0,1,0,9.3,8.8,1,1,1,3,4,4,3,3,3,3,1,3,5,0,0,31.8,23.0,0,0,1
r314,nike,streakfly 2,1,0,0,0,1,1,1,0,4.5,3.7,0,1,1,5,2,4,3,5,1,1,1,1,1,0,1,27.0,23.3,1,0,1
r315,nike,structure 25,0,0,1,1,0,0,0,1,10.7,12.1,1,0,0,5,4,4,4,3,3,3,3,5,5,0,0,36.7,24.6,0,0,1
r316,nike,structure 26,0,0,1,1,0,0,0,1,10.4,10.1,1,0,0,5,3,4,4,3,3,3,3,5,3,0,0,36.1,26.0,0,0,1
r317,nike,vaporfly 3,1,1,0,0,0,1,1,0,6.7,11.1,1,0,0,5,2,4,4,5,3,3,5,5,3,0,1,37.1,26.0,1,0,1
r318,nike,vaporfly 4,1,0,1,0,0,1,1,0,5.9,8.6,1,1,1,5,4,3,2,3,1,3,5,5,1,0,1,34.1,25.5,0,0,1
r319,nike,vomero 17,0,0,1,1,0,0,1,0,9.9,7.7,0,1,1,5,3,4,4,3,3,3,3,3,3,0,0,33.9,26.2,0,0,1
r320,nike,vomero 18,0,1,1,1,0,0,1,0,10.5,13.9,1,0,0,5,3,4,3,3,3,1,3,5,3,0,0,42.5,28.6,0,0,1
r321,nike,vomero plus,0,0,1,1,0,0,1,0,10.2,9.6,1,1,1,5,3,4,4,3,3,3,5,5,3,0,0,42.3,32.7,0,0,1
