Brand,Name,terrain_light,terrain_moderate,terrain_technical,shock_low,shock_moderate,shock_high,energy_low,energy_moderate,energy_high,traction_moderate,traction_high,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,softness_soft,softness_balanced,softness_firm,toebox_durability,heel_durability,outsole_durability,breathability,plate_0,plate_rock_plate,plate_carbon_plate,width_narrow,width_medium,width_wide,toebox_narrow,toebox_medium,toebox_wide,stiffness_flexible,stiffness_moderate,stiffness_stiff,torsional_flexible,torsional_moderate,torsional_stiff,heel_stiff_flexible,heel_stiff_moderate,heel_stiff_stiff,lug_depth,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all,heavy_runners,removable_insole,orthotic_friendly,not_waterproof,waterproof,water_repellent,lightweight
altra,timp 5 gtx,1,1,0,0,1,0,1,0,0,0,1,1,0,11.0,0.3,0,1,1,1,0,0,3,3,4,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3.5,28.9,28.6,0,1,0,0,1,1,0,1,0,0
asics,gel excite trail 2,1,0,0,0,1,0,1,0,0,0,0,1,0,10.3,10.1,1,0,0,0,1,0,1,2,3,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,4.0,37.7,27.6,0,0,1,1,1,1,1,0,0,0
asics,gel trabuco 12,0,1,1,0,1,0,0,1,0,0,0,1,0,10.5,7.8,0,1,1,1,0,0,4,4,4,3,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,4.5,35.4,27.6,0,0,1,0,1,1,1,0,0,0
asics,gel trabuco 13,1,0,0,0,1,0,0,1,0,0,0,1,0,10.2,7.0,0,1,1,0,1,0,4,4,4,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.3,33.8,26.8,0,0,1,0,1,1,1,0,0,0
asics,gel venture 10,1,1,0,1,0,0,1,0,0,0,0,1,0,11.4,12.0,1,0,0,1,0,0,4,4,4,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3.7,35.3,23.3,0,0,1,0,1,1,1,0,0,0
asics,gel venture 8,1,1,0,0,0,0,0,0,0,0,0,1,0,10.4,13.2,1,0,0,0,1,0,2,3,4,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3.1,34.2,21.0,1,0,1,0,1,1,1,0,0,0
asics,gel venture 9,1,1,0,1,0,0,1,0,0,0,0,1,0,11.1,10.4,1,0,0,0,1,0,1,3,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3.0,33.3,22.9,0,0,1,0,1,1,1,0,0,0
asics,metafuji trail,1,0,0,0,0,1,0,1,0,0,1,1,0,9.1,10.3,1,0,0,1,0,0,1,4,3,5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2.7,44.7,34.4,1,0,1,0,1,1,1,0,0,0
asics,trabuco max 2,0,1,1,0,0,0,0,0,0,0,0,1,0,10.3,8.5,1,1,1,1,0,0,3,4,3,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,4.2,39.7,31.2,1,0,1,0,1,1,1,0,0,0
asics,trabuco max 3,0,1,1,0,0,1,0,1,0,0,0,1,0,10.9,8.5,1,1,1,1,0,0,4,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4.0,42.4,33.9,0,0,1,0,1,1,1,0,0,0
