Brand,Name,Pace,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel lab Heel brand,Forefoot lab Forefoot brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity,Gender,Terrain,Pace_norm,Pace_lists,pace_competition,pace_daily_running,pace_tempo,arch_neutral,arch_stability,Strike_norm,Strike_lists,-,strike_forefoot,strike_heel,strike_mid,fit_category,fit_large,fit_small,fit_true,fit_missing,midsole_soft,midsole_balanced,midsole_firm,toebox_bad,toebox_decent,toebox_good,heelpad_bad,heelpad_decent,heelpad_good,outsole_bad,outsole_decent,outsole_good,breath_breathable,breath_moderate,breath_warm,width_narrow,width_medium,width_wide,toeboxwidth_narrow,toeboxwidth_medium,toeboxwidth_wide,stiff_flexible,stiff_moderate,stiff_stiff,torsion_flexible,torsion_moderate,torsion_stiff,heelcounter_flexible,heelcounter_moderate,heelcounter_stiff,widthavail_norm,widthavail_list,widthavail_narrow,widthavail_normal,widthavail_wide,widthavail_xwide,season_norm,season_list,season_all,season_summer,season_winter,weight_lab_oz,weight_lab_g,weight_brand_oz,weight_brand_g,drop_lab_mm,drop_brand_mm,heel_lab_mm,heel_brand_mm,forefoot_lab_mm,forefoot_brand_mm
Nike,Revolution 8,Daily Running,Neutral,9.3 oz / 264g 9.5 oz / 270g,0,8.8 mm 10.0 mm,Heelmid/Forefoot,True To Size,Balanced,Good,Good,Decent,Moderate,Medium,Medium,Flexible,Moderate,Stiff,0,0,31.8 mm 33.0 mm,23.0 mm 23.0 mm,Normalwidex-Wide,1,All Seasons,1,#322 Bottom 12%,#66 Top 19%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,Normal|Wide|X-Wide,"['Normal', 'Wide', 'X-Wide']",0,1,1,1,All,['All'],1,0,0,9.3,264,9.5,270.0,8.8,10.0,31.8,33.0,23.0,23.0
Brooks,Ricochet 3,Daily Running,Neutral,9.1 oz / 258g 9.4 oz / 266g,0,6.8 mm 8.0 mm,Mid/Forefoot,-,-,-,-,-,-,Medium,-,-,Moderate,-,0,0,27.6 mm 24.0 mm,20.8 mm 16.0 mm,Normal,1,-,1,#205 Bottom 43%,#321 Bottom 12%,,,Daily Running,['Daily Running'],0,1,0,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Normal,['Normal'],0,1,0,0,,,0,0,0,9.1,258,9.4,266.0,6.8,8.0,27.6,24.0,20.8,16.0
Saucony,Ride 14,Daily Running,Neutral,10.1 oz / 286g 9.9 oz / 281g,0,9.5 mm 8.0 mm,Heelmid/Forefoot,Slightly Large,-,-,-,-,Moderate,Medium,-,Stiff,Flexible,Stiff,0,0,33.9 mm 32.0 mm,24.4 mm 24.0 mm,Normalwide,1,All Seasons,1,#181 Top 29%,#464 Bottom 28%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,All,['All'],1,0,0,10.1,286,9.9,281.0,9.5,8.0,33.9,32.0,24.4,24.0
Saucony,Ride 15,Daily Running,Neutral,8.9 oz / 253g 9 oz / 255g,0,6.9 mm 8.0 mm,Mid/Forefoot,True To Size,Balanced,-,-,-,-,Narrow,-,Stiff,Moderate,Stiff,0,0,31.4 mm 35.0 mm,24.5 mm 27.0 mm,Normalwide,1,-,1,#207 Top 33%,#387 Bottom 40%,,,Daily Running,['Daily Running'],0,1,0,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,true,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,,,0,0,0,8.9,253,9.0,255.0,6.9,8.0,31.4,35.0,24.5,27.0
Saucony,Ride 16,Daily Running,Neutral,9.3 oz / 264g 8.8 oz / 250g,0,7.9 mm 8.0 mm,Mid/Forefoot,Slightly Small,Balanced,Bad,Bad,Good,Breathable,Narrow,Medium,Moderate,Flexible,Stiff,0,0,33.3 mm 35.0 mm,25.4 mm 27.0 mm,Normalwide,1,Summerall Seasons,1,#296 Top 46%,#351 Bottom 45%,,,Daily Running,['Daily Running'],0,1,0,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,small,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,Summer|All,"['Summer', 'All']",1,1,0,9.3,264,8.8,250.0,7.9,8.0,33.3,35.0,25.4,27.0
Saucony,Ride 17,Daily Running,Neutral,10.2 oz / 288g 9.9 oz / 282g,0,8.5 mm 8.0 mm,Heelmid/Forefoot,True To Size,Soft,Decent,Good,Good,Warm,Medium,Medium,Moderate,Moderate,Moderate,0,1,35.1 mm 35.0 mm,26.6 mm 27.0 mm,Normalwide,1,All Seasons,1,#134 Top 21%,#155 Top 25%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,All,['All'],1,0,0,10.2,288,9.9,282.0,8.5,8.0,35.1,35.0,26.6,27.0
Saucony,Ride 18,Daily Running,Neutral,9 oz / 255g 9.5 oz / 269g,0,8.4 mm 8.0 mm,Heelmid/Forefoot,True To Size,Balanced,Decent,Good,Good,Breathable,Medium,Medium,Moderate,Flexible,Flexible,0,0,35.0 mm 37.0 mm,26.6 mm 29.0 mm,Normalwide,1,Summerall Seasons,1,#98 Top 27%,#54 Top 15%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,Summer|All,"['Summer', 'All']",1,1,0,9.0,255,9.5,269.0,8.4,8.0,35.0,37.0,26.6,29.0
Hoka,Rincon 4,Daily Running,Stability,8.1 oz / 231g 8 oz / 228g,1,9.4 mm 5.0 mm,Heelmid/Forefoot,Slightly Small,Soft,Bad,Decent,Bad,Breathable,Narrow,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 33.0 mm,26.6 mm 28.0 mm,Normalwide,1,Summerall Seasons,1,#305 Bottom 16%,#80 Top 22%,,,Daily Running,['Daily Running'],0,1,0,0,1,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,small,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,Summer|All,"['Summer', 'All']",1,1,0,8.1,231,8.0,228.0,9.4,5.0,36.0,33.0,26.6,28.0
Altra,Rivera 2,Daily Runningtempo,Neutral,8.6 oz / 243g 8.5 oz / 240g,1,2.8 mm 0.0 mm,Mid/Forefoot,Half Size Small,Soft,-,-,-,-,Medium,-,Moderate,Flexible,Flexible,0,0,24.6 mm 26.0 mm,21.8 mm 26.0 mm,Normal,1,-,1,#431 Bottom 33%,#561 Bottom 13%,,,Daily Running|Tempo,"['Daily Running', 'Tempo']",0,1,1,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,small,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Normal,['Normal'],0,1,0,0,,,0,0,0,8.6,243,8.5,240.0,2.8,0.0,24.6,26.0,21.8,26.0
Altra,Rivera 3,Daily Running,Neutral,9.1 oz / 257g 9.8 oz / 278g,0,1.7 mm 0.0 mm,Mid/Forefoot,Slightly Small,Soft,Bad,Good,Good,Moderate,Medium,Wide,Stiff,Moderate,Moderate,0,0,28.4 mm 28.0 mm,26.7 mm 28.0 mm,Normal,1,All Seasons,1,#275 Top 43%,#494 Bottom 23%,,,Daily Running,['Daily Running'],0,1,0,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,small,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,Normal,['Normal'],0,1,0,0,All,['All'],1,0,0,9.1,257,9.8,278.0,1.7,0.0,28.4,28.0,26.7,28.0
